sateid,date,pro,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
C01,2020-06-20-00-00-00,37731504.04,1,5,0,4,0,3,9,6
C02,2020-06-20-00-00-00,37704077.98,4,0,7,7,9,8,4,6
C03,2020-06-20-00-00-00,36616719.67,6,7,1,9,6,7,2,6
C04,2020-06-20-00-00-00,38660370.96,0,3,7,0,9,6,1,6
C05,2020-06-20-00-00-00,39696094.59,6,0,9,4,5,8,6,5
C06,2020-06-20-00-00-00,37742317.13,2,3,1,7,1,3,3,6
C07,2020-06-20-00-00-00,36451068.43,1,0,6,8,4,3,0,7
C08,2020-06-20-00-00-00,39803318.57,3,3,1,8,5,7,0,5
C09,2020-06-20-00-00-00,36575483.72,5,4,8,3,7,1,9,7
C10,2020-06-20-00-00-00,37118074.92,8,0,7,4,9,2,2,7
C12,2020-06-20-00-00-00,25113338.6,3,3,3,8,6,0,2,6
C16,2020-06-20-00-00-00,38167959.48,7,9,5,9,4,7,7,7
C24,2020-06-20-00-00-00,24953846.77,3,8,4,6,7,7,3,6
C26,2020-06-20-00-00-00,21750072.79,0,0,7,2,7,8,9,8
C29,2020-06-20-00-00-00,24678689.73,8,6,8,9,7,2,7,7
G04,2020-06-20-00-00-00,21966884.24,6,8,8,4,2,4,2,7
G07,2020-06-20-00-00-00,23447016.77,7,0,1,6,7,6,6,6
G08,2020-06-20-00-00-00,20154521.46,4,5,2,1,4,6,1,8
G09,2020-06-20-00-00-00,22129309.37,9,3,0,9,3,6,7,7
G11,2020-06-20-00-00-00,22292035.27,2,0,3,5,2,7,3,7
G16,2020-06-20-00-00-00,22092757.58,2,7,5,7,5,7,8,7
G21,2020-06-20-00-00-00,24525360.09,5,3,6,0,0,8,6,5
G26,2020-06-20-00-00-00,24311823.25,1,8,2,3,2,5,0,5
G27,2020-06-20-00-00-00,20650189.84,0,1,8,9,8,3,6,8
C01,2020-06-20-00-05-00,37731737.08,1,7,3,7,0,7,8,6
C02,2020-06-20-00-05-00,37704055.98,4,0,5,5,9,7,7,6
C03,2020-06-20-00-05-00,36614468.16,4,4,6,8,1,6,4,6
C04,2020-06-20-00-05-00,38658996.35,8,9,9,6,3,5,2,6
C05,2020-06-20-00-05-00,39696102.88,6,1,0,2,8,8,3,5
C06,2020-06-20-00-05-00,37835028.46,5,0,2,8,4,6,1,6
C07,2020-06-20-00-05-00,36448765.31,8,7,6,5,3,1,3,7
C08,2020-06-20-00-05-00,39693859.95,3,8,5,9,9,5,3,5
C09,2020-06-20-00-05-00,36649862.81,9,8,6,2,8,0,5,7
C10,2020-06-20-00-05-00,37113812.93,3,8,1,2,9,3,0,7
C12,2020-06-20-00-05-00,24925000.63,5,0,0,0,6,3,3,6
C16,2020-06-20-00-05-00,38265221.84,5,2,2,1,8,4,4,7
C24,2020-06-20-00-05-00,24813145.6,3,1,4,5,6,0,2,6
C26,2020-06-20-00-05-00,21697832.58,7,8,3,2,5,7,8,8
C29,2020-06-20-00-05-00,24838154.19,8,1,5,4,1,8,8,6
G01,2020-06-20-00-05-00,24891106.43,1,1,0,6,4,3,0,5
G04,2020-06-20-00-05-00,22105045.2,5,0,4,5,2,0,3,7
G07,2020-06-20-00-05-00,23267932.48,7,9,3,2,4,8,4,6
G08,2020-06-20-00-05-00,20135704.13,5,7,0,4,1,3,3,8
G09,2020-06-20-00-05-00,22162502.17,2,5,0,2,1,7,2,7
G11,2020-06-20-00-05-00,22115988.63,5,9,8,8,6,3,3,7
G16,2020-06-20-00-05-00,22200958.62,0,9,5,8,6,1,7,7
G21,2020-06-20-00-05-00,24631460.46,1,4,6,0,4,6,1,5
G26,2020-06-20-00-05-00,24441986.93,1,9,8,6,9,3,0,5
G27,2020-06-20-00-05-00,20756047.91,6,0,4,7,9,1,4,8
C01,2020-06-20-00-10-00,37731986.56,1,9,8,6,5,5,5,6
C02,2020-06-20-00-10-00,37703975.48,3,9,7,5,4,7,7,6
C03,2020-06-20-00-10-00,36612192.41,2,1,9,2,4,0,6,6
C04,2020-06-20-00-10-00,38657635.47,7,6,3,5,4,6,9,6
C06,2020-06-20-00-10-00,37928788.06,8,7,8,8,0,6,3,6
C07,2020-06-20-00-10-00,36445486.96,5,4,8,6,9,6,1,7
C08,2020-06-20-00-10-00,39584186.77,4,1,8,6,7,6,6,5
C09,2020-06-20-00-10-00,36726701.59,6,7,0,1,5,9,4,7
C10,2020-06-20-00-10-00,37108672,8,6,7,2,0,0,0,7
C12,2020-06-20-00-10-00,24739442.7,9,4,4,2,7,0,3,5
C16,2020-06-20-00-10-00,38363624.02,3,6,2,4,0,2,3,6
C24,2020-06-20-00-10-00,24672450.43,2,4,5,0,4,3,0,6
C26,2020-06-20-00-10-00,21649791.82,9,7,9,1,8,2,0,8
C29,2020-06-20-00-10-00,25001462.72,1,4,6,2,7,1,9,6
G04,2020-06-20-00-10-00,22249530.82,9,5,3,0,8,2,0,7
G07,2020-06-20-00-10-00,23090381.1,0,3,8,1,1,0,2,6
G08,2020-06-20-00-10-00,20126817.43,6,8,1,7,4,3,0,8
G09,2020-06-20-00-10-00,22205748.16,5,7,4,8,1,5,6,7
G11,2020-06-20-00-10-00,21945008.09,5,0,0,8,0,9,4,7
G16,2020-06-20-00-10-00,22310275.72,0,2,7,5,7,1,9,7
G21,2020-06-20-00-10-00,24744833.17,4,8,3,3,1,7,2,5
G26,2020-06-20-00-10-00,24572316.77,2,3,1,6,7,7,3,5
G27,2020-06-20-00-10-00,20869848.53,9,8,4,8,5,3,1,7
C01,2020-06-20-00-15-00,37732252.05,2,2,5,2,0,4,7,6
C02,2020-06-20-00-15-00,37703836.29,3,8,3,6,2,8,9,6
C03,2020-06-20-00-15-00,36609895.79,9,8,9,5,7,8,9,6
C04,2020-06-20-00-15-00,38656289.99,6,2,8,9,9,9,2,6
C05,2020-06-20-00-15-00,39695999.48,5,9,9,9,4,8,4,5
C06,2020-06-20-00-15-00,38023483.56,3,4,8,3,5,5,5,6
C07,2020-06-20-00-15-00,36441228.88,1,2,2,8,8,7,5,7
C08,2020-06-20-00-15-00,39474435.54,4,4,3,5,5,3,9,6
C09,2020-06-20-00-15-00,36805922.89,5,9,2,2,8,9,1,7
C10,2020-06-20-00-15-00,37102622.09,2,6,2,2,0,8,6,7
C12,2020-06-20-00-15-00,24557035.13,7,0,3,5,1,3,3,6
C16,2020-06-20-00-15-00,38463054.73,3,0,5,4,7,2,7,6
C24,2020-06-20-00-15-00,24531964.54,1,9,6,4,5,3,9,7
C26,2020-06-20-00-15-00,21606215.39,6,2,1,5,3,9,1,8
C29,2020-06-20-00-15-00,25168203.78,8,2,0,3,7,8,1,6
G04,2020-06-20-00-15-00,22399770.85,9,7,7,0,8,5,2,7
G07,2020-06-20-00-15-00,22914786.04,4,7,8,6,0,3,9,7
G08,2020-06-20-00-15-00,20127682.62,7,6,8,2,6,1,7,8
G09,2020-06-20-00-15-00,22258756.81,8,7,5,6,8,1,3,7
G11,2020-06-20-00-15-00,21779588.82,9,5,8,8,8,2,0,7
G16,2020-06-20-00-15-00,22420643.93,0,6,4,3,9,3,0,7
G21,2020-06-20-00-15-00,24865186.2,5,1,8,6,1,9,5,5
G26,2020-06-20-00-15-00,24702864.26,2,8,6,4,2,5,8,5
G27,2020-06-20-00-15-00,20991092.31,1,0,9,2,3,0,5,7
C01,2020-06-20-00-20-00,37732534.4,2,5,3,4,3,9,8,6
C02,2020-06-20-00-20-00,37703638.34,3,6,3,8,3,3,6,6
C03,2020-06-20-00-20-00,36607578.2,7,5,7,8,2,0,3,7
C04,2020-06-20-00-20-00,38654959.63,4,9,5,9,6,2,5,6
C05,2020-06-20-00-20-00,39695889.23,5,8,8,9,2,3,4,5
C06,2020-06-20-00-20-00,38119000.47,9,0,0,0,4,6,9,6
C07,2020-06-20-00-20-00,36435992.52,5,9,9,2,5,2,3,7
C08,2020-06-20-00-20-00,39364738.63,4,7,3,8,6,2,5,6
C09,2020-06-20-00-20-00,36887447.37,7,4,4,7,3,6,7,7
C10,2020-06-20-00-20-00,37095632.74,5,6,3,2,7,4,2,7
C12,2020-06-20-00-20-00,24378132.83,8,1,3,2,8,2,8,6
C16,2020-06-20-00-20-00,38563398.31,3,3,9,8,3,1,3,6
C24,2020-06-20-00-20-00,24391902.88,1,9,0,2,8,7,5,7
C26,2020-06-20-00-20-00,21567367.3,7,3,6,7,2,9,7,8
C29,2020-06-20-00-20-00,25337969.23,7,9,6,9,2,3,4,6
G01,2020-06-20-00-20-00,24266637.32,6,6,3,7,3,2,0,5
G04,2020-06-20-00-20-00,22555185.13,5,1,8,5,1,2,5,6
G07,2020-06-20-00-20-00,22741583.32,1,5,8,3,3,2,0,7
G08,2020-06-20-00-20-00,20138084.77,8,0,8,4,7,6,6,8
G09,2020-06-20-00-20-00,22321193.74,1,1,9,3,7,4,2,7
G11,2020-06-20-00-20-00,21620215.3,0,2,1,5,2,9,7,7
G16,2020-06-20-00-20-00,22532014.3,2,0,1,4,2,9,7,7
G21,2020-06-20-00-20-00,24992203.56,2,2,0,3,5,6,3,5
G26,2020-06-20-00-20-00,24833676.52,3,6,7,6,5,1,6,5
G27,2020-06-20-00-20-00,21119274.34,9,2,7,4,3,3,6,7
C01,2020-06-20-00-25-00,37732832.16,2,8,3,2,1,6,4,6
C02,2020-06-20-00-25-00,37703382.41,3,3,8,2,4,0,6,6
C03,2020-06-20-00-25-00,36605240.34,5,2,4,0,3,3,6,7
C04,2020-06-20-00-25-00,38653644.89,3,6,4,4,8,9,1,6
C05,2020-06-20-00-25-00,39695737.89,5,7,3,7,8,9,1,5
C06,2020-06-20-00-25-00,38215224.03,5,2,2,4,0,3,1,6
C07,2020-06-20-00-25-00,36429781.95,9,7,8,1,9,5,3,7
C08,2020-06-20-00-25-00,39255234.04,5,2,3,4,0,3,9,6
C09,2020-06-20-00-25-00,36971188.55,1,1,8,8,5,4,7,7
C10,2020-06-20-00-25-00,37087678.3,7,6,7,8,2,9,7,7
C12,2020-06-20-00-25-00,24203087.24,3,0,8,7,2,4,2,6
C16,2020-06-20-00-25-00,38664538.2,4,5,3,8,1,9,5,6
C24,2020-06-20-00-25-00,24252497.19,2,4,9,7,1,8,8,7
C26,2020-06-20-00-25-00,21533509.68,3,5,0,9,6,8,0,8
C29,2020-06-20-00-25-00,25510355.89,0,3,5,5,8,9,1,6
G01,2020-06-20-00-25-00,24055617.87,5,6,1,7,8,6,7,6
G04,2020-06-20-00-25-00,22715184.95,5,1,8,4,9,5,3,6
G07,2020-06-20-00-25-00,22571228.6,1,2,2,8,6,0,2,7
G08,2020-06-20-00-25-00,20157776.32,7,7,7,6,3,2,0,8
G09,2020-06-20-00-25-00,22392685.3,2,6,8,5,2,9,7,7
G11,2020-06-20-00-25-00,21467359.74,7,3,5,9,7,4,2,7
G16,2020-06-20-00-25-00,22644351.16,4,3,5,1,1,5,6,6
G26,2020-06-20-00-25-00,24964811.3,4,8,1,1,2,9,7,5
G27,2020-06-20-00-25-00,21253879.89,3,8,7,9,8,9,1,7
C01,2020-06-20-00-30-00,37733146.95,3,1,4,6,9,4,5,6
C02,2020-06-20-00-30-00,37703068.27,3,0,6,8,2,7,3,6
C03,2020-06-20-00-30-00,36602884.3,2,8,8,4,2,9,7,6
C04,2020-06-20-00-30-00,38652347.19,2,3,4,7,1,8,8,6
C05,2020-06-20-00-30-00,39695547.22,5,5,4,7,2,1,9,5
C06,2020-06-20-00-30-00,38312036.8,2,0,3,6,7,9,7,6
C07,2020-06-20-00-30-00,36422604.83,2,6,0,4,8,2,8,7
C08,2020-06-20-00-30-00,39146053.08,6,0,5,3,0,7,8,6
C09,2020-06-20-00-30-00,37057057.98,7,0,5,7,9,8,4,7
C10,2020-06-20-00-30-00,37078737.81,8,7,3,7,8,0,5,7
C12,2020-06-20-00-30-00,24032239.24,2,2,3,9,2,4,2,6
C16,2020-06-20-00-30-00,38766355.38,6,3,5,5,3,7,5,6
C24,2020-06-20-00-30-00,24113993.41,3,9,9,3,4,0,6,7
C26,2020-06-20-00-30-00,21504900.6,4,9,0,0,6,0,2,8
C29,2020-06-20-00-30-00,25684970.08,4,9,7,0,0,7,8,6
G01,2020-06-20-00-30-00,23844079.19,4,0,7,9,1,8,8,6
G04,2020-06-20-00-30-00,22879178.94,9,1,7,8,9,3,8,6
G07,2020-06-20-00-30-00,22404189.1,4,1,8,9,1,0,2,7
G08,2020-06-20-00-30-00,20186479.28,6,4,7,9,2,8,1,8
G09,2020-06-20-00-30-00,22472823.76,2,8,2,3,7,5,8,7
G11,2020-06-20-00-30-00,21321479.05,1,4,7,9,0,4,7,7
G16,2020-06-20-00-30-00,22757633.32,7,6,3,3,3,2,0,6
G21,2020-06-20-00-30-00,25264874.81,4,8,7,4,8,1,3,5
G26,2020-06-20-00-30-00,25096325.26,6,3,2,5,2,5,8,5
G27,2020-06-20-00-30-00,21394397.95,4,3,9,7,9,5,3,7
C01,2020-06-20-00-35-00,37733477.08,3,4,7,7,0,7,8,6
C02,2020-06-20-00-35-00,37702695.82,2,6,9,5,8,2,0,6
C03,2020-06-20-00-35-00,36600511.41,0,5,1,1,4,1,4,7
C04,2020-06-20-00-35-00,38651068.16,1,0,6,8,1,6,4,6
C05,2020-06-20-00-35-00,39695317.34,5,3,1,7,3,3,6,5
C06,2020-06-20-00-35-00,38409321.31,9,3,2,1,3,0,5,6
C07,2020-06-20-00-35-00,36414473.36,4,4,7,3,3,5,9,7
C08,2020-06-20-00-35-00,39037331.24,7,3,3,1,2,4,2,6
C09,2020-06-20-00-35-00,37144961.28,4,9,6,1,2,8,1,7
C10,2020-06-20-00-35-00,37068791.96,8,7,9,1,9,6,1,7
C12,2020-06-20-00-35-00,23865915.34,5,9,1,5,3,3,6,6
C16,2020-06-20-00-35-00,38868733.04,8,7,3,3,0,3,9,6
C24,2020-06-20-00-35-00,23976652.34,6,6,5,2,3,4,4,7
C26,2020-06-20-00-35-00,21481793.26,1,7,9,3,2,5,8,8
C29,2020-06-20-00-35-00,25861423.06,1,4,2,3,0,6,3,5
G01,2020-06-20-00-35-00,23632596.95,2,5,9,6,9,4,5,6
G04,2020-06-20-00-35-00,23046571.29,6,5,7,1,2,8,9,6
G07,2020-06-20-00-35-00,22240945.53,0,9,4,5,5,3,1,7
G08,2020-06-20-00-35-00,20223887.47,3,8,8,7,4,6,9,8
G09,2020-06-20-00-35-00,22561168.59,1,1,6,8,5,8,6,7
G11,2020-06-20-00-35-00,21183013.98,3,0,1,3,9,7,7,7
G16,2020-06-20-00-35-00,22871852.38,1,8,5,2,3,8,3,6
G21,2020-06-20-00-35-00,25409805.48,9,8,0,5,4,7,7,5
G26,2020-06-20-00-35-00,25228280.63,8,2,8,0,6,3,3,4
G27,2020-06-20-00-35-00,21540317.48,0,3,1,7,4,7,7,7
C01,2020-06-20-00-40-00,37733823.41,3,8,2,3,4,1,4,6
C02,2020-06-20-00-40-00,37702267.38,2,2,6,7,3,8,3,6
C03,2020-06-20-00-40-00,36598122.61,8,1,2,2,6,0,9,6
C04,2020-06-20-00-40-00,38649805.91,9,8,0,5,9,1,4,6
C05,2020-06-20-00-40-00,39695047.13,5,0,4,7,1,2,5,5
C06,2020-06-20-00-40-00,38506958.09,6,9,5,8,0,9,4,6
C07,2020-06-20-00-40-00,36405401.95,5,4,0,1,9,5,3,7
C08,2020-06-20-00-40-00,38929199.03,9,1,9,9,0,3,1,6
C09,2020-06-20-00-40-00,37234803.51,4,8,0,3,5,0,8,7
C10,2020-06-20-00-40-00,37057825.74,7,8,2,5,7,4,2,7
C12,2020-06-20-00-40-00,23704428.23,4,4,2,8,2,3,4,6
C16,2020-06-20-00-40-00,38971549.76,1,5,4,9,7,5,8,6
C24,2020-06-20-00-40-00,23840746.76,0,7,4,6,7,5,8,7
C26,2020-06-20-00-40-00,21464431.02,4,4,3,1,0,1,6,8
C29,2020-06-20-00-40-00,26039340.39,9,3,4,0,3,9,1,5
G01,2020-06-20-00-40-00,23421759.72,1,7,5,9,7,1,9,6
G04,2020-06-20-00-40-00,23216768.4,6,7,6,8,3,9,8,6
G07,2020-06-20-00-40-00,22081985.98,1,9,8,5,9,8,4,7
G08,2020-06-20-00-40-00,20269670.1,9,6,7,0,1,0,2,8
G09,2020-06-20-00-40-00,22657250.71,7,2,5,0,7,1,1,7
G11,2020-06-20-00-40-00,21052381.77,2,3,8,1,7,7,3,7
G16,2020-06-20-00-40-00,22987008.59,7,0,0,8,5,8,6,6
G26,2020-06-20-00-40-00,25360735.13,0,7,3,5,1,2,5,5
G27,2020-06-20-00-40-00,21691133.46,1,1,3,3,4,6,1,7
C01,2020-06-20-00-45-00,37734185.48,4,1,8,5,4,7,7,6
C02,2020-06-20-00-45-00,37701780.94,1,7,8,0,9,3,8,6
C03,2020-06-20-00-45-00,36595719.14,5,7,1,9,1,4,1,7
C04,2020-06-20-00-45-00,38648563.06,8,5,6,3,0,6,3,6
C05,2020-06-20-00-45-00,39694738.33,4,7,3,8,3,2,8,5
C06,2020-06-20-00-45-00,38604829.64,4,8,2,9,6,4,1,6
C07,2020-06-20-00-45-00,36395409.88,5,4,0,9,8,8,3,7
C08,2020-06-20-00-45-00,38821787.83,1,7,8,7,8,2,8,6
C09,2020-06-20-00-45-00,37326482.13,6,4,8,2,1,3,3,7
C10,2020-06-20-00-45-00,37045827.01,5,8,2,7,0,0,8,7
C12,2020-06-20-00-45-00,23548077.83,8,0,7,7,8,2,8,7
C13,2020-06-20-00-45-00,40098230.7,8,2,3,0,7,0,3,5
C16,2020-06-20-00-45-00,39074682.73,4,6,8,2,7,2,7,6
C24,2020-06-20-00-45-00,23706565.72,6,5,6,5,7,1,9,7
C26,2020-06-20-00-45-00,21453050.33,3,0,5,0,3,2,8,8
C29,2020-06-20-00-45-00,26218354.68,8,3,5,4,6,8,0,4
G01,2020-06-20-00-45-00,23212166.23,2,1,6,6,2,2,7,6
G04,2020-06-20-00-45-00,23389181.12,9,1,8,1,1,1,7,6
G07,2020-06-20-00-45-00,21927810.88,7,8,1,0,8,7,5,7
G08,2020-06-20-00-45-00,20323476.1,3,4,7,6,1,0,2,8
G09,2020-06-20-00-45-00,22760573.75,0,5,7,3,7,5,0,6
G11,2020-06-20-00-45-00,20929979.31,9,9,7,9,3,0,5,7
G16,2020-06-20-00-45-00,23103117.31,3,1,1,7,3,0,5,6
G26,2020-06-20-00-45-00,25493746.1,3,7,4,6,1,0,2,5
G27,2020-06-20-00-45-00,21846348.46,6,3,4,8,4,6,1,7
G30,2020-06-20-00-45-00,24413287.45,3,2,8,7,4,4,5,5
C01,2020-06-20-00-50-00,37734563.46,4,5,6,3,4,6,1,6
C02,2020-06-20-00-50-00,37701238.52,1,2,3,8,5,1,6,6
C03,2020-06-20-00-50-00,36593303.11,3,3,0,3,1,0,9,7
C04,2020-06-20-00-50-00,38647339.39,7,3,3,9,3,9,1,6
C05,2020-06-20-00-50-00,39694390.77,4,3,9,0,7,6,6,5
C06,2020-06-20-00-50-00,38702812.24,2,8,1,2,2,4,2,6
C07,2020-06-20-00-50-00,36384519.35,4,5,1,9,3,5,2,7
C08,2020-06-20-00-50-00,38715229.56,5,2,2,9,5,5,5,6
C09,2020-06-20-00-50-00,37419894.78,9,8,9,4,7,8,1,6
C10,2020-06-20-00-50-00,37032788.69,2,7,8,8,6,8,8,7
C12,2020-06-20-00-50-00,23397146.56,7,1,4,6,5,5,5,7
C13,2020-06-20-00-50-00,40003719.21,3,7,1,9,2,1,1,5
C16,2020-06-20-00-50-00,39178011.06,8,0,1,1,0,6,3,6
C24,2020-06-20-00-50-00,23574407.04,4,4,0,7,0,3,9,7
C26,2020-06-20-00-50-00,21447874.47,7,8,7,4,4,6,9,8
C29,2020-06-20-00-50-00,26398113.33,8,1,1,3,3,2,8,5
G01,2020-06-20-00-50-00,23004429.86,4,4,2,9,8,5,9,6
G04,2020-06-20-00-50-00,23563223.07,3,2,2,3,0,7,0,6
G07,2020-06-20-00-50-00,21778924.37,8,9,2,4,3,6,7,7
G08,2020-06-20-00-50-00,20384935.6,4,9,3,5,6,0,2,8
G09,2020-06-20-00-50-00,22870620.23,0,6,2,0,2,3,4,6
G11,2020-06-20-00-50-00,20816175.65,6,1,7,5,6,4,8,7
G16,2020-06-20-00-50-00,23220198.24,0,1,9,8,2,4,2,6
G27,2020-06-20-00-50-00,22005475.87,5,4,7,5,8,6,7,7
G30,2020-06-20-00-50-00,24219531.94,9,5,3,1,9,3,8,5
C01,2020-06-20-00-55-00,37734956.24,4,9,5,6,2,4,2,6
C02,2020-06-20-00-55-00,37700638.13,0,6,3,8,1,2,5,6
C03,2020-06-20-00-55-00,36590874.11,0,8,7,4,1,0,9,7
C04,2020-06-20-00-55-00,38646134.2,6,1,3,4,1,9,5,6
C05,2020-06-20-00-55-00,39694003.61,4,0,0,3,6,0,9,5
C06,2020-06-20-00-55-00,38800785.5,0,7,8,5,5,0,0,6
C07,2020-06-20-00-55-00,36372756.27,2,7,5,6,2,6,6,7
C08,2020-06-20-00-55-00,38609648.7,9,6,4,8,6,9,5,6
C09,2020-06-20-00-55-00,37514933.98,4,9,3,3,9,8,4,6
C10,2020-06-20-00-55-00,37018704.41,8,7,0,4,4,1,4,7
C12,2020-06-20-00-55-00,23251896,1,8,9,6,0,0,0,7
C13,2020-06-20-00-55-00,39908864.98,8,8,6,4,9,7,7,6
C16,2020-06-20-00-55-00,39281410.27,1,4,1,0,2,6,6,6
C24,2020-06-20-00-55-00,23444581.95,4,5,8,1,9,5,3,7
C26,2020-06-20-00-55-00,21449113.91,9,1,1,3,9,0,6,8
C29,2020-06-20-00-55-00,26578268.9,8,2,6,8,8,9,8,5
G01,2020-06-20-00-55-00,22799172.14,9,1,7,2,1,4,1,6
G04,2020-06-20-00-55-00,23738318.73,8,3,1,8,7,3,4,6
G07,2020-06-20-00-55-00,21635830.81,5,8,3,0,8,1,3,7
G08,2020-06-20-00-55-00,20453664.33,3,6,6,4,3,2,8,8
G09,2020-06-20-00-55-00,22986852.48,6,8,5,2,4,8,4,6
G11,2020-06-20-00-55-00,20711311.79,1,3,1,1,7,8,9,8
G16,2020-06-20-00-55-00,23338284.64,8,2,8,4,6,4,1,6
G27,2020-06-20-00-55-00,22168039.97,8,0,3,9,9,6,9,7
G30,2020-06-20-00-55-00,24027328.13,7,3,2,8,1,3,3,6
C01,2020-06-20-01-00-00,37735364.73,5,3,6,4,7,2,7,6
C02,2020-06-20-01-00-00,37699982.12,9,9,8,2,1,1,7,6
C03,2020-06-20-01-00-00,36588434.33,8,4,3,4,3,2,8,7
C04,2020-06-20-01-00-00,38644949.87,4,9,4,9,8,6,7,6
C05,2020-06-20-01-00-00,39693578.11,3,5,7,8,1,0,9,5
C06,2020-06-20-01-00-00,38898629.7,8,6,2,9,6,9,5,5
C07,2020-06-20-01-00-00,36360150.44,0,1,5,0,4,3,8,7
C08,2020-06-20-01-00-00,38505173.97,5,1,7,3,9,6,9,6
C09,2020-06-20-01-00-00,37611488.8,1,4,8,8,7,9,7,6
C10,2020-06-20-01-00-00,37003575.02,3,5,7,5,0,2,3,7
C12,2020-06-20-01-00-00,23112572.91,2,5,7,2,9,0,6,7
C13,2020-06-20-01-00-00,39813783.65,3,7,8,3,6,4,8,6
C16,2020-06-20-01-00-00,39384759.38,4,7,5,9,3,7,5,6
C24,2020-06-20-01-00-00,23317413.28,7,4,1,3,2,8,1,7
C26,2020-06-20-01-00-00,21456964.55,6,9,6,4,5,4,7,8
G01,2020-06-20-01-00-00,22597022.65,7,0,2,2,6,4,8,6
G04,2020-06-20-01-00-00,23913899.96,3,8,9,9,9,6,1,6
G07,2020-06-20-01-00-00,21499039.77,9,0,3,9,7,7,3,7
G08,2020-06-20-01-00-00,20529266.16,9,2,6,6,1,6,4,8
G09,2020-06-20-01-00-00,23108718.4,8,7,1,8,3,9,8,6
G11,2020-06-20-01-00-00,20615698.1,5,6,9,8,1,0,2,8
G16,2020-06-20-01-00-00,23457412.5,7,4,1,2,5,0,0,6
G27,2020-06-20-01-00-00,22333582.36,3,5,8,2,3,5,9,7
G30,2020-06-20-01-00-00,23837109.59,7,1,0,9,5,8,6,6
C01,2020-06-20-01-05-00,37735788.38,5,7,8,8,3,8,3,6
C02,2020-06-20-01-05-00,37699269.72,9,2,6,9,7,1,9,6
C03,2020-06-20-01-05-00,36585984.91,5,9,8,4,9,0,6,7
C04,2020-06-20-01-05-00,38643786.76,3,7,8,6,7,5,8,6
C05,2020-06-20-01-05-00,39693112.95,3,1,1,2,9,4,5,5
C06,2020-06-20-01-05-00,38996222.94,6,2,2,2,9,3,8,5
C07,2020-06-20-01-05-00,36346734.69,6,7,3,4,6,8,8,7
C08,2020-06-20-01-05-00,38401927.79,1,9,2,7,7,8,9,6
C09,2020-06-20-01-05-00,37709448.7,9,4,4,8,7,0,3,6
C10,2020-06-20-01-05-00,36987401.81,7,4,0,1,8,0,5,7
C12,2020-06-20-01-05-00,22979400.56,9,4,0,0,5,5,5,7
C13,2020-06-20-01-05-00,39718596.88,8,5,9,6,8,8,3,6
C16,2020-06-20-01-05-00,39487933.36,7,9,3,3,3,5,9,6
C24,2020-06-20-01-05-00,23193230.95,3,2,3,0,9,4,5,8
C26,2020-06-20-01-05-00,21471605.51,1,6,0,5,5,0,8,8
G01,2020-06-20-01-05-00,22398615.34,8,6,1,5,3,4,4,7
G04,2020-06-20-01-05-00,24089409.73,9,4,0,9,7,2,7,6
G07,2020-06-20-01-05-00,21369054.03,9,0,5,4,0,3,1,7
G08,2020-06-20-01-05-00,20611337.37,1,3,3,7,3,6,7,8
G09,2020-06-20-01-05-00,23235653.23,5,6,5,3,2,2,7,6
G11,2020-06-20-01-05-00,20529611.22,9,6,1,1,2,1,9,7
G16,2020-06-20-01-05-00,23577627.28,7,6,2,7,2,8,1,6
G27,2020-06-20-01-05-00,22501658.88,1,6,5,8,8,7,5,7
G30,2020-06-20-01-05-00,23649327.02,9,3,2,7,0,2,3,6
C01,2020-06-20-01-10-00,37736226.75,6,2,2,6,7,5,0,6
C02,2020-06-20-01-10-00,37698503.71,8,5,0,3,7,1,1,6
C03,2020-06-20-01-10-00,36583527.24,3,5,2,7,2,4,2,7
C04,2020-06-20-01-10-00,38642644.09,2,6,4,4,0,9,4,6
C05,2020-06-20-01-10-00,39692611,2,6,1,1,0,0,0,5
C06,2020-06-20-01-10-00,39093445.64,3,4,4,5,6,4,1,5
C07,2020-06-20-01-10-00,36332545.43,2,5,4,5,4,3,0,7
C08,2020-06-20-01-10-00,38300030.62,0,0,3,0,6,1,7,6
C09,2020-06-20-01-10-00,37808697.69,8,6,9,7,6,8,8,6
C10,2020-06-20-01-10-00,36970192.21,0,1,9,2,2,1,1,7
C12,2020-06-20-01-10-00,22852583.81,2,5,8,3,8,1,3,7
C13,2020-06-20-01-10-00,39623424.81,3,4,2,4,8,1,3,5
C16,2020-06-20-01-10-00,39590809.22,0,8,0,9,2,1,9,6
C24,2020-06-20-01-10-00,23072375.23,2,3,7,5,2,3,4,8
C26,2020-06-20-01-10-00,21493197.77,3,1,9,7,7,6,6,8
G01,2020-06-20-01-10-00,22204588.27,4,5,8,8,2,6,6,6
G04,2020-06-20-01-10-00,24264304.62,4,3,0,4,6,1,7,5
G07,2020-06-20-01-10-00,21246372.26,6,3,7,2,2,5,8,7
G08,2020-06-20-01-10-00,20699470.96,9,4,7,0,9,6,1,8
G09,2020-06-20-01-10-00,23367083.66,7,0,8,3,6,5,6,6
G11,2020-06-20-01-10-00,20453292.37,3,2,9,2,3,6,7,7
G16,2020-06-20-01-10-00,23698979.13,8,9,7,9,1,2,5,6
G27,2020-06-20-01-10-00,22671844.09,1,8,4,4,0,9,4,7
G30,2020-06-20-01-10-00,23464444.38,4,4,4,4,3,8,3,6
