C12	2020-06-20-00-10-00	-71234.546	2611873.785	-981156.4748	24739442.7	0.000406135
C16	2020-06-20-00-10-00	-975086.0044	3883831.574	-1281606.639	38363624.02	-0.000614077
C24	2020-06-20-00-10-00	1120797.598	1321910.816	2186753.136	24672450.43	-0.000787243
C26	2020-06-20-00-10-00	-839109.6234	1724860.645	2027567.098	21649791.82	0.00072451
C29	2020-06-20-00-10-00	-1564584.4	-287521.6592	2291767.004	25001462.72	0.000244805
G04	2020-06-20-00-10-00	-54454.1487	2642566.975	-241749.445	22249530.82	-0.00010462
G07	2020-06-20-00-10-00	863136.6717	1290461.143	2185948.94	23090381.1	-0.00030842
G08	2020-06-20-00-10-00	-723943.3312	2164026.062	1338288.549	20126817.43	-3.81448E-05
G09	2020-06-20-00-10-00	821074.2984	2378591.469	842811.8666	22205748.16	-0.00023936
G11	2020-06-20-00-10-00	-1130944.924	2416054.079	-224806.1941	21945008.09	-0.000243959
G16	2020-06-20-00-10-00	-1781660.733	439636.5045	1914719.712	22310275.72	-0.000172565
G21	2020-06-20-00-10-00	-1720610.488	-482894.1482	2033753.584	24744833.17	1.37163E-05
G26	2020-06-20-00-10-00	-2461044.219	-310276.0943	976083.2134	24572316.77	0.000228528
G27	2020-06-20-00-10-00	-1253694.962	1192349.147	1990559.785	20869848.53	-0.000324977
C01	2020-06-20-00-15-00	-3435435.116	2447857.029	64534.9214	37732252.05	-0.000402424
C02	2020-06-20-00-15-00	441775.0834	4190079.827	-142016.9472	37703836.29	0.000270963
C03	2020-06-20-00-15-00	-1470016.372	3949125.179	-72286.6948	36609895.79	0.000855636
C04	2020-06-20-00-15-00	-3958468.539	1450978.115	27100.6517	38656289.99	-0.000156145
C05	2020-06-20-00-15-00	2192362.944	3598481.417	-109547.0073	39695999.48	-0.000487067
C06	2020-06-20-00-15-00	-1152458.026	3712908.262	-1537297.473	38023483.56	0.000758491
C07	2020-06-20-00-15-00	-1236790.737	2326394.846	3311137.338	36441228.88	3.2643E-05
C08	2020-06-20-00-15-00	-2559703.49	2805920.499	-1858408.636	39474435.54	-0.000322216
C09	2020-06-20-00-15-00	-177857.6298	4190050.852	59762.1557	36805922.89	0.000621521
C10	2020-06-20-00-15-00	448711.8972	2900264.501	3059091.732	37102622.09	-0.000257861
C12	2020-06-20-00-15-00	-80805.9196	2642640.094	-894507.7944	24557035.13	0.000406139
C16	2020-06-20-00-15-00	-939008.0568	3868914.894	-1351589.396	38463054.73	-0.000614075
C24	2020-06-20-00-15-00	1048137.558	1342202.863	2210337.47	24531964.54	-0.00078724
C26	2020-06-20-00-15-00	-905768.6827	1741954.941	1983882.528	21606215.39	0.000724514
C29	2020-06-20-00-15-00	-1546149.733	-363975.1929	2293417.184	25168203.78	0.000244807
G04	2020-06-20-00-15-00	-63654.8517	2631983.502	-336136.1099	22399770.85	-0.000104621
G07	2020-06-20-00-15-00	795651.0511	1335505.813	2183011.752	22914786.04	-0.000308423
G08	2020-06-20-00-15-00	-735758.7946	2112348.998	1413143.08	20127682.62	-3.8145E-05
G09	2020-06-20-00-15-00	815560.9377	2409999.514	754802.6267	22258756.81	-0.000239362
G11	2020-06-20-00-15-00	-1143949.555	2414885.18	-133773.9097	21779588.82	-0.000243956
G16	2020-06-20-00-15-00	-1843179.414	400594.2199	1866277.708	22420643.93	-0.000172566
G21	2020-06-20-00-15-00	-1665497.838	-531536.1188	2069361.69	24865186.2	1.37176E-05
G26	2020-06-20-00-15-00	-2490534.12	-331871.1295	891452.8689	24702864.26	0.00022853
G27	2020-06-20-00-15-00	-1263812.335	1115240.904	2029191.962	20991092.31	-0.00032498
C01	2020-06-20-00-20-00	-3435366.173	2447922.911	63758.8275	37732534.4	-0.000402414
C02	2020-06-20-00-20-00	441693.4525	4190099.555	-141814.8859	37703638.34	0.000270955
C03	2020-06-20-00-20-00	-1470083.278	3949065.764	-70422.6076	36607578.2	0.000855631
