C08,2020-06-20-00-05-00,39693859.9535 ,39693846.9576 ,39693854.1956 ,PC08,2020-06-20-00-05,-25560.382491 ,27149.068341 ,-19922.886701 ,-322.201405 
C09,2020-06-20-00-05-00,36649862.8057 ,36649850.3247 ,36649859.8207 ,PC09,2020-06-20-00-05,-2529.443199 ,41823.151574 ,2104.029494 ,621.505207 
C10,2020-06-20-00-05-00,37113812.9307 ,37113799.6687 ,37113809.0907 ,PC10,2020-06-20-00-05,4911.479264 ,29549.511071 ,30006.682373 ,-257.866463 
C12,2020-06-20-00-05-00,24925000.6336 ,24924990.0707 ,24924997.6176 ,PC12,2020-06-20-00-05,-601.763064 ,25784.986703 ,-10661.860477 ,406.131822 
C16,2020-06-20-00-05-00,38265221.8447 ,38265211.6486 ,38265221.5126 ,PC16,2020-06-20-00-05,-10117.775374 ,38971.400828 ,-12110.052264 ,-614.079686 
C24,2020-06-20-00-05-00,24813145.6026 ,24813133.9737 ,             ,PC24,2020-06-20-00-05,11929.959308 ,13032.381711 ,21595.581328 ,-787.245640 
C26,2020-06-20-00-05-00,21697832.5788 ,21697824.4418 ,             ,PC26,2020-06-20-00-05,-7707.403028 ,17087.006820 ,20679.068002 ,724.505474 
C29,2020-06-20-00-05-00,24838154.1886 ,24838145.7306 ,             ,PC29,2020-06-20-00-05,-15845.177945 ,-2115.702060 ,22863.308790 ,244.803557 
G01,2020-06-20-00-05-00,24891106.4305 ,24891111.9803 ,             ,PG01,2020-06-20-00-05,-9309.866177 ,18869.712186 ,-16224.810397 ,12.615215 
G04,2020-06-20-00-05-00,22105045.2037 ,22105052.6255 ,22105051.9967 ,PG04,2020-06-20-00-05,-455.635487 ,26497.401240 ,-1468.988785 ,-104.618413 
G07,2020-06-20-00-05-00,23267932.4846 ,23267938.4776 ,23267938.0396 ,PG07,2020-06-20-00-05,9313.743475,12466.021553,21848.182216,-308.417763
G08,2020-06-20-00-05-00,20135704.1338 ,20135712.1059 ,20135712.6728 ,PG08,2020-06-20-00-05,-7132.745603,22130.372616,12608.407109,-38.144867
G09,2020-06-20-00-05-00,22162502.1727 ,22162508.6957 ,22162508.3877 ,PG09,2020-06-20-00-05,8268.483133,23440.023331,9292.030879,-239.357716
G11,2020-06-20-00-05-00,22115988.6337 ,22115993.9845 ,             ,PG11,2020-06-20-00-05,-11163.574734,24144.649595,-3154.181229,-243.961965
G16,2020-06-20-00-05-00,22200958.6177 ,22200963.8055 ,             ,PG16,2020-06-20-00-05,-17193.227969,4807.537678,19594.799794,-172.563442
G21,2020-06-20-00-05-00,24631460.4615 ,24631464.6024 ,             ,PG21,2020-06-20-00-05,-17755.264460,-4360.178603,19944.694414,13.714993
G26,2020-06-20-00-05-00,24441986.9305 ,24441996.2272 ,24441996.5516 ,PG26,2020-06-20-00-05,-24290.548419,-2868.966980,10588.648177,228.526059
G27,2020-06-20-00-05-00,20756047.9148 ,20756055.2468 ,20756055.1728 ,PG27,2020-06-20-00-05,-12450.710570,12681.067495,19480.356363,-324.973983
C01,2020-06-20-00-10-00,37731986.5556 ,37731977.0276 ,37731982.7777 ,PC01,2020-06-20-00-10,-34355.039639,24477.900848,652.802327,-402.434931
C02,2020-06-20-00-10-00,37703975.4776 ,37703964.9266 ,37703968.3837 ,PC02,2020-06-20-00-10,4418.573934,41900.625429,-1421.509938,270.970604
C03,2020-06-20-00-10-00,36612192.4066 ,36612182.3137 ,36612187.4027 ,PC03,2020-06-20-00-10,-14699.511147,39491.847666,-741.161052,855.639914
C04,2020-06-20-00-10-00,38657635.4696 ,38657623.6766 ,38657629.5316 ,PC04,2020-06-20-00-10,-39585.050432,14510.014213,258.804946,-156.151743
C06,2020-06-20-00-10-00,37928788.0636 ,37928775.2386 ,37928782.9776 ,PC06,2020-06-20-00-10,-11860.129504,37300.533327,-14699.301725,758.488268
C07,2020-06-20-00-10-00,36445486.9617 ,36445472.0477 ,36445479.9777 ,PC07,2020-06-20-00-10,-12061.154317,23416.844642,33124.730528,32.652182
C08,2020-06-20-00-10-00,39584186.7665 ,39584173.4346 ,39584180.9736 ,PC08,2020-06-20-00-10,-25588.615108,27603.681546,-19258.057328,-322.208583
C09,2020-06-20-00-10-00,36726701.5947 ,36726688.5667 ,36726697.6457 ,PC09,2020-06-20-00-10,-2154.863924,41870.201212,1351.153837,621.512883
C10,2020-06-20-00-10-00,37108672.0007 ,37108659.5827 ,37108668.5167 ,PC10,2020-06-20-00-10,4705.263556,29271.321114,30305.933403,-257.863600
C12,2020-06-20-00-10-00,24739442.7035 ,24739431.6026 ,24739440.3286 ,PC12,2020-06-20-00-10,-712.345460,26118.737847,-9811.564748,406.135138
C16,2020-06-20-00-10-00,38363624.0236 ,38363614.7776 ,38363624.7506 ,PC16,2020-06-20-00-10,-9750.860044,38838.315735,-12816.066392,-614.077381
C24,2020-06-20-00-10-00,24672450.4306 ,24672439.2347 ,             ,PC24,2020-06-20-00-10,11207.975984,13219.108161,21867.531358,-787.242611
C26,2020-06-20-00-10-00,21649791.8208 ,21649784.0128 ,             ,PC26,2020-06-20-00-10,-8391.096234,17248.606446,20275.670977,724.509648
C29,2020-06-20-00-10-00,25001462.7196 ,25001454.4696 ,             ,PC29,2020-06-20-00-10,-15645.843996,-2875.216592,22917.670037,244.805098
G04,2020-06-20-00-10-00,22249530.8207 ,22249537.7195 ,22249537.7707 ,PG04,2020-06-20-00-10,-544.541487,26425.669746,-2417.494450,-104.619853
G07,2020-06-20-00-10-00,23090381.1026 ,23090387.1056 ,23090386.8596 ,PG07,2020-06-20-00-10,8631.366717,12904.611426,21859.489395,-308.420467
G08,2020-06-20-00-10-00,20126817.4308 ,20126825.2509 ,20126825.7628 ,PG08,2020-06-20-00-10,-7239.433312,21640.260624,13382.885493,-38.144845
G09,2020-06-20-00-10-00,22205748.1567 ,22205755.7977 ,22205756.1847 ,PG09,2020-06-20-00-10,8210.742984,23785.914687,8428.118666,-239.359757
G11,2020-06-20-00-10-00,21945008.0947 ,21945012.8285 ,             ,PG11,2020-06-20-00-10,-11309.449235,24160.540793,-2248.061941,-243.958871
G16,2020-06-20-00-10-00,22310275.7197 ,22310280.5704 ,             ,PG16,2020-06-20-00-10,-17816.607327,4396.365045,19147.197122,-172.564937
G21,2020-06-20-00-10-00,24744833.1725 ,24744840.0823 ,             ,PG21,2020-06-20-00-10,-17206.104881,-4828.941482,20337.535844,13.716324
G26,2020-06-20-00-10-00,24572316.7735 ,24572327.8242 ,24572327.2346 ,PG26,2020-06-20-00-10,-24610.442186,-3102.760943,9760.832134,228.528136
G27,2020-06-20-00-10-00,20869848.5317 ,20869855.5668 ,20869855.6298 ,PG27,2020-06-20-00-10,-12536.949620,11923.491473,19905.597848,-324.976909
C01,2020-06-20-00-15-00,37732252.0476 ,37732242.9416 ,37732248.4067 ,PC01,2020-06-20-00-15,-34354.351157,24478.570293,645.349214,-402.424311
C02,2020-06-20-00-15-00,37703836.2896 ,37703825.6026 ,37703829.2627 ,PC02,2020-06-20-00-15,4417.750834,41900.798272,-1420.169472,270.962823
C03,2020-06-20-00-15-00,36609895.7896 ,36609885.4267 ,36609890.8407 ,PC03,2020-06-20-00-15,-14700.163721,39491.251793,-722.866948,855.635625
C04,2020-06-20-00-15-00,38656289.9926 ,38656277.7626 ,38656283.7236 ,PC04,2020-06-20-00-15,-39584.685390,14509.781147,271.006517,-156.145237
C05,2020-06-20-00-15-00,39695999.4845 ,39695990.3556 ,39695995.0166 ,PC05,2020-06-20-00-15,21923.629435,35984.814170,-1095.470073,-487.067453
C06,2020-06-20-00-15-00,38023483.5556 ,38023470.9266 ,38023477.6256 ,PC06,2020-06-20-00-15,-11524.580255,37129.082621,-15372.974727,758.491353
C07,2020-06-20-00-15-00,36441228.8757 ,36441214.3017 ,36441222.5317 ,PC07,2020-06-20-00-15,-12367.907373,23263.948459,33111.373382,32.642958
C08,2020-06-20-00-15-00,39474435.5396 ,39474421.6766 ,39474429.9066 ,PC08,2020-06-20-00-15,-25597.034898,28059.204992,-18584.086359,-322.215664
C09,2020-06-20-00-15-00,36805922.8917 ,36805910.8137 ,36805919.9227 ,PC09,2020-06-20-00-15,-1778.576298,41900.508515,597.621557,621.520525
C10,2020-06-20-00-15-00,37102622.0867 ,37102609.2157 ,37102618.1417 ,PC10,2020-06-20-00-15,4487.118972,29002.645007,30590.917322,-257.860525
C12,2020-06-20-00-15-00,24557035.1336 ,24557022.6177 ,24557030.8917 ,PC12,2020-06-20-00-15,-808.059196,26426.400937,-8945.077944,406.138524
C16,2020-06-20-00-15-00,38463054.7276 ,38463044.5556 ,38463054.7816 ,PC16,2020-06-20-00-15,-9390.080568,38689.148944,-13515.893963,-614.075030
C24,2020-06-20-00-15-00,24531964.5397 ,24531953.1807 ,             ,PC24,2020-06-20-00-15,10481.375576,13422.028627,22103.374702,-787.239576
